Table_Name,Field_Name,Field_Datatype,Occurance (number),Occurance (Percentage),Samples_from_field,Description_table,Row_Description,Generated_At,Duration_Seconds
Customer,CustomerKey,Numeric,18485,100.0%,-1 | 11000 | 11001,"This table contains information about customers, including their IDs, names, and location details.","The ""CustomerKey"" field within the ""Customer"" table is a numeric data type that uniquely identifies each customer record, with sample values such as -1, 11000, and 11001.",2025-06-24 19:00:21,21.32
Customer,Customer ID,String,18485,100.0%,[Not Applicable] | AW00011000 | AW00011001,"This table contains information about customers, including their IDs, names, and location details.","The ""Customer ID"" field in the ""Customer"" table is a string data type that uniquely identifies each customer with values like AW00011000 and AW00011001.",2025-06-24 19:00:44,22.81
Customer,Customer,String,18485,100.0%,[Not Applicable] | Jon Yang | Eugene Huang,"This table contains information about customers, including their IDs, names, and location details.","The ""Customer"" field in the ""Customer"" table is a string data type that holds individual names, such as ""Jon Yang"" or ""Eugene Huang"".",2025-06-24 19:01:01,17.08
Customer,City,String,18485,100.0%,[Not Applicable] | Rockhampton | Seaford,"This table contains information about customers, including their IDs, names, and location details.","The ""City"" field in the ""Customer"" table is a string data type that contains the geographical location (cities) of customers.",2025-06-24 19:01:16,14.69
Customer,State-Province,String,18485,100.0%,[Not Applicable] | Queensland | Victoria,"This table contains information about customers, including their IDs, names, and location details.","The ""State-Province"" field in the ""Customer"" table is a string data type that stores geographical locations such as states or provinces, with examples including 'Queensland' and 'Victoria'.",2025-06-24 19:01:33,17.26
Customer,Country-Region,String,18485,100.0%,[Not Applicable] | Australia | United States,"This table contains information about customers, including their IDs, names, and location details.","The ""Country-Region"" field within the ""Customer"" table is a string data type that allows for entries of geographical locations, such as ""Australia"" or ""United States.""",2025-06-24 19:01:50,17.58
Customer,Postal Code,String,18485,100.0%,[Not Applicable] | 4700 | 3198,"This table contains information about customers, including their IDs, names, and location details.","The ""Postal Code"" field within the ""Customer"" table is a string type data that contains postal codes, such as '4700' or '3198', for identifying customer addresses during data processing.",2025-06-24 19:02:10,19.92
Date,DateKey,Numeric,1461,100.0%,20170701 | 20170702 | 20170703,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","The ""DateKey"" field is a numeric data type that represents dates in the format YYYYMMDD, storing specific dates like '20170701', '20170702', or '20170703' in this table named ""Date"".",2025-06-24 19:02:40,30.14
Date,Date,String,1461,100.0%,7/1/2017 | 7/2/2017 | 7/3/2017,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","This ""Date"" field within the ""Date"" table is a string type that stores date values in the format of Month/Day/Year, such as '7/1/2017', '7/2/2017', or '7/3/2017'.",2025-06-24 19:03:09,28.39
Date,Fiscal Year,String,1461,100.0%,FY2018 | FY2019 | FY2020,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","This ""Fiscal Year"" string field within the ""Date"" table represents the fiscal years using a format of FY followed by the respective year (e.g., FY2018, FY2019, FY2020).",2025-06-24 19:03:31,21.96
Date,Fiscal Quarter,String,1461,100.0%,FY2018 Q1 | FY2018 Q2 | FY2018 Q3,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","This ""Fiscal Quarter"" field in the ""Date"" table is a string type data representing specific quarters within a given fiscal year, such as FY2018 Q1, FY2018 Q2, or FY2018 Q3.",2025-06-24 19:03:53,22.33
Date,Month,String,1461,100.0%,2017 Jul | 2017 Aug | 2017 Sep,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","This ""Month"" string data type field within the ""Date"" table contains the names of months (e.g., Jul, Aug, Sep) for a specific year, as demonstrated by the examples provided.",2025-06-24 19:04:10,17.11
Date,Full Date,String,1461,100.0%,"2017 Jul, 01 | 2017 Jul, 02 | 2017 Jul, 03","This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","The ""Full Date"" field within the ""Date"" table is a string datatype that records dates using the format of year, month (abbreviated), and day, as demonstrated by examples like ""2017 Jul, 01"".",2025-06-24 19:04:34,23.61
Date,MonthKey,Numeric,1461,100.0%,201707 | 201708 | 201709,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","The ""MonthKey"" field is a numeric data type used to represent the month of a year in a format of YYYYMM within the ""Date"" table, where each value represents a specific month (e.g., '201707' for July 2017).",2025-06-24 19:05:00,26.1
Product,ProductKey,Numeric,397,100.0%,210 | 211 | 212,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""ProductKey"" field is a numeric identifier assigned to each product within the ""Product"" table, with sample values including 210, 211, and 212.",2025-06-24 19:05:18,18.4
Product,SKU,String,397,100.0%,FR-R92B-58 | FR-R92R-58 | HL-U509-R,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""SKU"" field in the ""Product"" table is a string datatype that holds unique identifiers for each product, represented by combinations of letters and numbers, such as FR-R92B-58 or HL-U509-R.",2025-06-24 19:05:40,22.11
Product,Product,String,397,100.0%,"HL Road Frame - Black, 58 | HL Road Frame - Red, 58 | Sport-100 Helmet, Red","This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","This ""Product"" field in the ""Product"" table contains descriptive string values that specify the product name and color, with an optional size information, as examples like ""HL Road Frame - Black, 58"" or ""Sport-100 Helmet, Red"" demonstrate.",2025-06-24 19:06:03,23.03
Product,Standard Cost,String,397,100.0%, $868.63  |  $12.03  |  $13.88 ,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Standard Cost"" field in the ""Product"" table represents string values that denote the predetermined cost of each product, using U.S. dollars as currency (e.g., ""$868.63"", ""$12.03"", ""$13.88"").",2025-06-24 19:06:29,25.31
Product,Color,Unknown,341,85.89%,Black | Red | White,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Color"" field in the ""Product"" table stores various color options for different products, with possible values being 'Black', 'Red', and 'White'.",2025-06-24 19:13:34,425.33
Product,List Price,String,397,100.0%," $1,431.50  |  $33.64  |  $34.99 ","This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""List Price"" field within the ""Product"" table stores string values representing the cost of a product without discounts or any other reductions, formatted as U.S. dollars and cents.",2025-06-24 19:13:53,18.86
Product,Model,String,397,100.0%,HL Road Frame | Sport-100 | Mountain Bike Socks,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Model"" field in the ""Product"" table is a string type that stores specific product models, such as HL Road Frame, Sport-100, or Mountain Bike Socks.",2025-06-24 19:14:10,17.35
Product,Subcategory,String,397,100.0%,Road Frames | Helmets | Socks,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Subcategory"" field in the ""Product"" table is a string data type that allows for categorizing products into specific areas such as Road Frames, Helmets, or Socks within the product collection.",2025-06-24 19:14:30,20.14
Product,Category,String,397,100.0%,Components | Accessories | Clothing,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Category"" field within the ""Product"" table is a string data type that classifies products into groups such as Components, Accessories, or Clothing.",2025-06-24 19:14:46,15.93
Reseller,ResellerKey,Numeric,702,100.0%,-1 | 1 | 2,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ResellerKey field in the Reseller table is a numeric identifier that can take values -1, 1, or 2, used to uniquely identify each reseller in the system.",2025-06-24 19:15:06,19.52
Reseller,Reseller ID,String,702,100.0%,[Not Applicable] | AW00000001 | AW00000002,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The Reseller ID field in the Reseller table is a string datatype that uniquely identifies each reseller, with example values such as AW00000001 and AW00000002.",2025-06-24 19:15:27,21.57
Reseller,Business Type,String,702,100.0%,[Not Applicable] | Value Added Reseller | Specialty Bike Shop,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Business Type"" field in the ""Reseller"" table is a string datatype used to classify resellers as either Value-Added Resellers or Specialty Bike Shops.",2025-06-24 19:15:45,17.27
