Table_Name,Field_Name,Field_Datatype,Occurance (number),Occurance (Percentage),Samples_from_field,Description_table
Customer,CustomerKey,Numeric,18485,100.0%,-1 | 11000 | 11001,"This table contains information about customers, including their IDs, names, and location details."
Customer,Customer ID,String,18485,100.0%,[Not Applicable] | AW00011000 | AW00011001,"This table contains information about customers, including their IDs, names, and location details."
Customer,Customer,String,18485,100.0%,[Not Applicable] | Jon Yang | Eugene Huang,"This table contains information about customers, including their IDs, names, and location details."
Customer,City,String,18485,100.0%,[Not Applicable] | Rockhampton | Seaford,"This table contains information about customers, including their IDs, names, and location details."
Customer,State-Province,String,18485,100.0%,[Not Applicable] | Queensland | Victoria,"This table contains information about customers, including their IDs, names, and location details."
Customer,Country-Region,String,18485,100.0%,[Not Applicable] | Australia | United States,"This table contains information about customers, including their IDs, names, and location details."
Customer,Postal Code,String,18485,100.0%,[Not Applicable] | 4700 | 3198,"This table contains information about customers, including their IDs, names, and location details."
Date,DateKey,Numeric,1461,100.0%,20170701 | 20170702 | 20170703,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values."
Date,Date,String,1461,100.0%,7/1/2017 | 7/2/2017 | 7/3/2017,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values."
Date,Fiscal Year,String,1461,100.0%,FY2018 | FY2019 | FY2020,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values."
Date,Fiscal Quarter,String,1461,100.0%,FY2018 Q1 | FY2018 Q2 | FY2018 Q3,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values."
Date,Month,String,1461,100.0%,2017 Jul | 2017 Aug | 2017 Sep,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values."
Date,Full Date,String,1461,100.0%,"2017 Jul, 01 | 2017 Jul, 02 | 2017 Jul, 03","This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values."
Date,MonthKey,Numeric,1461,100.0%,201707 | 201708 | 201709,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values."
Product,ProductKey,Numeric,397,100.0%,210 | 211 | 212,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories."
Product,SKU,String,397,100.0%,FR-R92B-58 | FR-R92R-58 | HL-U509-R,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories."
Product,Product,String,397,100.0%,"HL Road Frame - Black, 58 | HL Road Frame - Red, 58 | Sport-100 Helmet, Red","This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories."
Product,Standard Cost,String,397,100.0%, $868.63  |  $12.03  |  $13.88 ,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories."
Product,Color,Unknown,341,85.89%,Black | Red | White,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories."
Product,List Price,String,397,100.0%," $1,431.50  |  $33.64  |  $34.99 ","This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories."
Product,Model,String,397,100.0%,HL Road Frame | Sport-100 | Mountain Bike Socks,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories."
Product,Subcategory,String,397,100.0%,Road Frames | Helmets | Socks,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories."
Product,Category,String,397,100.0%,Components | Accessories | Clothing,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories."
Reseller,ResellerKey,Numeric,702,100.0%,-1 | 1 | 2,"This table contains data about resellers, including IDs, business types, names, and their geographic information."
Reseller,Reseller ID,String,702,100.0%,[Not Applicable] | AW00000001 | AW00000002,"This table contains data about resellers, including IDs, business types, names, and their geographic information."
Reseller,Business Type,String,702,100.0%,[Not Applicable] | Value Added Reseller | Specialty Bike Shop,"This table contains data about resellers, including IDs, business types, names, and their geographic information."
Reseller,Reseller,String,702,100.0%,[Not Applicable] | A Bike Store | Progressive Sports,"This table contains data about resellers, including IDs, business types, names, and their geographic information."
Reseller,City,String,702,100.0%,[Not Applicable] | Seattle | Renton,"This table contains data about resellers, including IDs, business types, names, and their geographic information."
Reseller,State-Province,String,702,100.0%,[Not Applicable] | Washington | Texas,"This table contains data about resellers, including IDs, business types, names, and their geographic information."
Reseller,Country-Region,String,702,100.0%,[Not Applicable] | United States | Canada,"This table contains data about resellers, including IDs, business types, names, and their geographic information."
Reseller,Postal Code,String,702,100.0%,[Not Applicable] | 98104 | 98055,"This table contains data about resellers, including IDs, business types, names, and their geographic information."
Sales,SalesOrderLineKey,Numeric,121253,100.0%,43659001 | 43659002 | 43659003,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,ResellerKey,Numeric,121253,100.0%,676 | 117 | 442,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,CustomerKey,Numeric,121253,100.0%,-1 | 21768 | 28389,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,ProductKey,Numeric,121253,100.0%,349 | 350 | 351,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,OrderDateKey,Numeric,121253,100.0%,20170702 | 20170705 | 20170707,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,DueDateKey,Numeric,121253,100.0%,20170712 | 20170715 | 20170717,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,ShipDateKey,Numeric,119140,98.26%,20170709.0 | 20170712.0 | 20170714.0,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,SalesTerritoryKey,Numeric,121253,100.0%,5 | 6 | 4,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,Order Quantity,Numeric,121253,100.0%,1 | 3 | 2,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,Unit Price,String,121253,100.0%,"$2,024.99 | $2,039.99 | $28.84","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,Extended Amount,String,121253,100.0%,"$2,024.99 | $6,074.98 | $2,039.99","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,Unit Price Discount Pct,String,121253,100.0%,0.00%,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,Product Standard Cost,String,121253,100.0%,"$1,898.09 | $1,912.15 | $31.72","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,Total Product Cost,String,121253,100.0%,"$1,898.09 | $5,694.28 | $1,912.15","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Sales,Sales Amount,String,121253,100.0%,"$2,024.99 | $6,074.98 | $2,039.99","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details."
Salesorder,Channel,String,121253,100.0%,Reseller | Internet,"This table includes details of sales orders, such as order IDs, sales channels, and order line information."
Salesorder,SalesOrderLineKey,Numeric,121253,100.0%,43659001 | 43659002 | 43659003,"This table includes details of sales orders, such as order IDs, sales channels, and order line information."
Salesorder,Sales Order,String,121253,100.0%,SO43659 | SO43660 | SO43661,"This table includes details of sales orders, such as order IDs, sales channels, and order line information."
Salesorder,Sales Order Line,String,121253,100.0%,SO43659 - 1 | SO43659 - 2 | SO43659 - 3,"This table includes details of sales orders, such as order IDs, sales channels, and order line information."
Salesterriroty,SalesTerritoryKey,Numeric,11,100.0%,1 | 2 | 3,"This table provides information about sales territories, including region, country, and grouping data."
Salesterriroty,Region,String,11,100.0%,Northwest | Northeast | Central,"This table provides information about sales territories, including region, country, and grouping data."
Salesterriroty,Country,String,11,100.0%,United States | Canada | France,"This table provides information about sales territories, including region, country, and grouping data."
Salesterriroty,Group,String,11,100.0%,North America | Europe | Pacific,"This table provides information about sales territories, including region, country, and grouping data."
