Table_Name,Field_Name,Field_Datatype,Occurance (number),Occurance (Percentage),Samples_from_field,Description_table,Row_Description,Generated_At,LLM_Response,LLM_Answered_At
Customer,CustomerKey,Numeric,18485,100.0%,-1 | 11000 | 11001,"This table contains information about customers, including their IDs, names, and location details.","The ""CustomerKey"" field in the ""Customer"" table is a numeric identifier, which uniquely identifies each customer with values such as -1, 11000, and 11001.",2025-06-24 16:44:03,Timeout,2025-06-24 17:06:33
Customer,Customer ID,String,18485,100.0%,[Not Applicable] | AW00011000 | AW00011001,"This table contains information about customers, including their IDs, names, and location details.","The ""Customer ID"" field is a string data type used to uniquely identify each customer record within the Customer table.",2025-06-24 16:44:17,Timeout,2025-06-24 17:06:33
Customer,Customer,String,18485,100.0%,[Not Applicable] | Jon Yang | Eugene Huang,"This table contains information about customers, including their IDs, names, and location details.","The ""Customer"" field within the ""Customer"" table is a string data type that stores individual names such as 'Jon Yang' and 'Eugene Huang'.",2025-06-24 16:44:34,Timeout,2025-06-24 17:06:33
Customer,City,String,18485,100.0%,[Not Applicable] | Rockhampton | Seaford,"This table contains information about customers, including their IDs, names, and location details.","The ""City"" field in the ""Customer"" table is a string data type that stores the location of customers, with possible values including ""Rockhampton"" and ""Seaford"".",2025-06-24 16:44:54,Timeout,2025-06-24 17:06:33
Customer,State-Province,String,18485,100.0%,[Not Applicable] | Queensland | Victoria,"This table contains information about customers, including their IDs, names, and location details.","The ""State-Province"" field within the ""Customer"" table is a string data type that stores the geographical location of customers, with examples including ""Queensland"" and ""Victoria.""",2025-06-24 16:45:13,Timeout,2025-06-24 17:06:33
Customer,Country-Region,String,18485,100.0%,[Not Applicable] | Australia | United States,"This table contains information about customers, including their IDs, names, and location details.","The ""Country-Region"" field in the ""Customer"" table is a string datatype that stores the country or region of the customer, with possible values including 'Not Applicable', 'Australia', and 'United States'.",2025-06-24 16:45:32,Timeout,2025-06-24 17:06:33
Customer,Postal Code,String,18485,100.0%,[Not Applicable] | 4700 | 3198,"This table contains information about customers, including their IDs, names, and location details.","The ""Postal Code"" field in the ""Customer"" table is a string data type used to store postal codes for customer addresses.",2025-06-24 16:45:47,Timeout,2025-06-24 17:06:33
Date,DateKey,Numeric,1461,100.0%,20170701 | 20170702 | 20170703,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","""DateKey is a numeric field representing the date key, formatted as YYYYMMDD, within the Date table, with sample values like '20170701', '20170702', and '20170703'.""",2025-06-24 16:46:15,Timeout,2025-06-24 17:06:33
Date,Date,String,1461,100.0%,7/1/2017 | 7/2/2017 | 7/3/2017,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","The ""Date"" field in the given table is a string type column that stores dates in the format MM/dd/yyyy, as exemplified by '7/1/2017', '7/2/2017', and '7/3/2017'.",2025-06-24 16:46:43,Timeout,2025-06-24 17:06:33
Date,Fiscal Year,String,1461,100.0%,FY2018 | FY2019 | FY2020,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","This ""Fiscal Year"" string field represents the fiscal year as denoted by 'FY' followed by the corresponding year (e.g., FY2018, FY2019, FY2020), used for financial reporting purposes in this table.",2025-06-24 16:47:09,Timeout,2025-06-24 17:06:33
Date,Fiscal Quarter,String,1461,100.0%,FY2018 Q1 | FY2018 Q2 | FY2018 Q3,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","The ""Fiscal Quarter"" field in the ""Date"" table is a string data type that records the fiscal quarter of a given financial year, using the format ""FY[Year] Q[Quarter]"" such as FY2018 Q1, FY2018 Q2, and FY2018 Q3.",2025-06-24 16:47:37,Timeout,2025-06-24 17:06:33
Date,Month,String,1461,100.0%,2017 Jul | 2017 Aug | 2017 Sep,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","The ""Month"" field in the ""Date"" table is a string data type storing month names, such as ""Jul"", ""Aug"", or ""Sep"", for the respective years (e.g., 2017).",2025-06-24 16:47:58,Timeout,2025-06-24 17:06:33
Date,Full Date,String,1461,100.0%,"2017 Jul, 01 | 2017 Jul, 02 | 2017 Jul, 03","This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","This ""Full Date"" field is a string data type that stores dates formatted as 'Year Month, Day' (e.g., '2017 Jul, 01').",2025-06-24 16:48:20,Timeout,2025-06-24 17:06:33
Date,MonthKey,Numeric,1461,100.0%,201707 | 201708 | 201709,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","The ""MonthKey"" field is a numeric representation of the month, using the four-digit year followed by the two-digit month value (e.g., '201707' for July).",2025-06-24 16:48:44,Timeout,2025-06-24 17:06:33
Product,ProductKey,Numeric,397,100.0%,210 | 211 | 212,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""ProductKey"" field in the ""Product"" table is a numeric identifier for each product, and it takes unique values such as 210, 211, and 212.",2025-06-24 16:49:05,Timeout,2025-06-24 17:06:33
Product,SKU,String,397,100.0%,FR-R92B-58 | FR-R92R-58 | HL-U509-R,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""SKU"" field in the ""Product"" table is a string data type used to uniquely identify each product item, with examples like ""FR-R92B-58"", ""FR-R92R-58"", and ""HL-U509-R"".",2025-06-24 16:49:31,Timeout,2025-06-24 17:06:33
Product,Product,String,397,100.0%,"HL Road Frame - Black, 58 | HL Road Frame - Red, 58 | Sport-100 Helmet, Red","This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Product"" field in the ""Product"" table is a string data type that stores the name and size of various products like bicycle frames or helmets, with sample values such as ""HL Road Frame - Black, 58"" or ""Sport-100 Helmet, Red.""",2025-06-24 16:49:57,Timeout,2025-06-24 17:06:33
Product,Standard Cost,String,397,100.0%, $868.63  |  $12.03  |  $13.88 ,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Standard Cost"" field in the ""Product"" table is a string type field storing numerical values representing the base price for manufacturing or purchasing each product unit, as shown by examples such as $868.63, $12.03, and $13.88.",2025-06-24 16:50:24,Timeout,2025-06-24 17:06:33
Product,Color,Unknown,341,85.89%,Black | Red | White,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Color"" field in the ""Product"" table is intended to store the color(s) of the product, with possible values including 'Black', 'Red', and 'White'. The datatype is yet to be specified.",2025-06-24 16:50:43,Timeout,2025-06-24 17:06:33
Product,List Price,String,397,100.0%," $1,431.50  |  $33.64  |  $34.99 ","This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""List Price"" field in the ""Product"" table is a string type that contains the monetary value of a product, represented as a formatted string (e.g., ""$1,431.50"", ""$33.64"", ""$34.99"").",2025-06-24 16:51:13,Timeout,2025-06-24 17:06:33
Product,Model,String,397,100.0%,HL Road Frame | Sport-100 | Mountain Bike Socks,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Model"" field within the ""Product"" table is a string datatype that stores specific names for various product models, such as ""HL Road Frame"", ""Sport-100"", or ""Mountain Bike Socks"".",2025-06-24 16:51:32,Timeout,2025-06-24 17:06:33
Product,Subcategory,String,397,100.0%,Road Frames | Helmets | Socks,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Subcategory"" field in the ""Product"" table is a string data type that stores specific groups within the product category, such as ""Road Frames"", ""Helmets"", or ""Socks"".",2025-06-24 16:51:52,Timeout,2025-06-24 17:06:33
