Table_Name,Field_Name,Field_Datatype,Occurance (number),Occurance (Percentage),Samples_from_field,Description_table,Row_Description
Customer,CustomerKey,Numeric,18485,100.0%,-1 | 11000 | 11001,"This table contains information about customers, including their IDs, names, and location details.","The ""CustomerKey"" field in the ""Customer"" table is a numeric identifier, containing unique values like -1, 11000, and 11001 to represent individual customer records."
Customer,Customer ID,String,18485,100.0%,[Not Applicable] | AW00011000 | AW00011001,"This table contains information about customers, including their IDs, names, and location details.","The ""Customer ID"" field is a string type column within the ""Customer"" table, used to uniquely identify each customer record with values like AW00011000 and AW00011001."
Customer,Customer,String,18485,100.0%,[Not Applicable] | Jon Yang | Eugene Huang,"This table contains information about customers, including their IDs, names, and location details.","The ""Customer"" field in the ""Customer"" table is a string datatype that stores individual customer names, such as ""Jon Yang"" or ""Eugene Huang""."
Customer,City,String,18485,100.0%,[Not Applicable] | Rockhampton | Seaford,"This table contains information about customers, including their IDs, names, and location details.","The ""City"" field in the ""Customer"" table is a string data type that stores geographical locations such as ""Rockhampton"" or ""Seaford""."
Customer,State-Province,String,18485,100.0%,[Not Applicable] | Queensland | Victoria,"This table contains information about customers, including their IDs, names, and location details.","The ""State-Province"" field in the ""Customer"" table is a string datatype that stores the geographical region or province of a customer, with examples like ""Queensland"" and ""Victoria""."
Customer,Country-Region,String,18485,100.0%,[Not Applicable] | Australia | United States,"This table contains information about customers, including their IDs, names, and location details.","The ""Country-Region"" field within the ""Customer"" table is a string data type that stores the geographical location of customers, with possible values including but not limited to Australia and the United States."
Customer,Postal Code,String,18485,100.0%,[Not Applicable] | 4700 | 3198,"This table contains information about customers, including their IDs, names, and location details.","The ""Postal Code"" field in the ""Customer"" table is a string datatype used to store postal or zip codes of customers for identification and location purposes."
Date,DateKey,Numeric,1461,100.0%,20170701 | 20170702 | 20170703,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","The ""DateKey"" field in the ""Date"" table is a numeric data type representing dates using year-month-day format (YYYYMMDD), such as '20170701', '20170702', and '20170703'."
Date,Date,String,1461,100.0%,7/1/2017 | 7/2/2017 | 7/3/2017,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","This field, named ""Date"", is a string data type column within the ""Date"" table, containing values that represent dates in the format MM/dd/yyyy, such as '7/1/2017' or '7/2/2017'."
Date,Fiscal Year,String,1461,100.0%,FY2018 | FY2019 | FY2020,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","This ""Fiscal Year"" string field indicates financial years within the organization, represented using abbreviation 'FY', with values like FY2018, FY2019, and FY2020."
Date,Fiscal Quarter,String,1461,100.0%,FY2018 Q1 | FY2018 Q2 | FY2018 Q3,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","The ""Fiscal Quarter"" field in the ""Date"" table is a string data type that represents the fiscal quarter (e.g., FY2018 Q1, FY2018 Q2, FY2018 Q3) for financial reporting purposes."
Date,Month,String,1461,100.0%,2017 Jul | 2017 Aug | 2017 Sep,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","This ""Month"" string data type field in the ""Date"" table represents the month name (e.g., ""Jul"", ""Aug"", ""Sep"") for the corresponding year."
Date,Full Date,String,1461,100.0%,"2017 Jul, 01 | 2017 Jul, 02 | 2017 Jul, 03","This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","This ""Full Date"" string field in the specified table contains date values formatted as ""Year Month, Day""."
Date,MonthKey,Numeric,1461,100.0%,201707 | 201708 | 201709,"This table provides details about calendar and fiscal dates, including quarters, months, and formatted date values.","The ""MonthKey"" field is a numeric data type representing the combined year and month (YYYYMM format) within the specified table named ""Date"". Sample values include 201707, 201708, and 201709."
Product,ProductKey,Numeric,397,100.0%,210 | 211 | 212,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""ProductKey"" field is a numeric identifier for products within the ""Product"" table, with sample values such as 210, 211, and 212."
Product,SKU,String,397,100.0%,FR-R92B-58 | FR-R92R-58 | HL-U509-R,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The SKU field in the Product table is a string datatype that contains unique product identification codes, such as ""FR-R92B-58"" or ""HL-U509-R""."
Product,Product,String,397,100.0%,"HL Road Frame - Black, 58 | HL Road Frame - Red, 58 | Sport-100 Helmet, Red","This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","This ""Product"" field within the ""Product"" table is used to store descriptive names of items such as ""HL Road Frame - Black, 58"", ""HL Road Frame - Red, 58"", and ""Sport-100 Helmet, Red"". It stores product names as string values."
Product,Standard Cost,String,397,100.0%, $868.63  |  $12.03  |  $13.88 ,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Standard Cost"" field in the ""Product"" table is a string data type storing the fixed cost for producing one unit of a product, represented by numerical values with dollar signs (e.g., ""$868.63"")."
Product,Color,Unknown,341,85.89%,Black | Red | White,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Color"" field within the ""Product"" table stores color names as text values, with examples including 'Black', 'Red', and 'White'."
Product,List Price,String,397,100.0%," $1,431.50  |  $33.64  |  $34.99 ","This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""List Price"" field in the ""Product"" table is a string data type that stores the monetary value of products, usually formatted with dollars and cents (e.g., ""$1,431.50"", ""$33.64"", ""$34.99"")."
Product,Model,String,397,100.0%,HL Road Frame | Sport-100 | Mountain Bike Socks,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Model"" field in the ""Product"" table is a string datatype that contains specific names for various products, such as ""HL Road Frame,"" ""Sport-100,"" or ""Mountain Bike Socks."""
Product,Subcategory,String,397,100.0%,Road Frames | Helmets | Socks,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Subcategory"" field within the ""Product"" table is a string data type used to classify products further, with examples like ""Road Frames"", ""Helmets"", or ""Socks""."
Product,Category,String,397,100.0%,Components | Accessories | Clothing,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Category"" string field in the ""Product"" table indicates the product's primary type, such as Components, Accessories, or Clothing."
Reseller,ResellerKey,Numeric,702,100.0%,-1 | 1 | 2,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""ResellerKey"" numeric field in the ""Reseller"" table represents unique identifiers for individual resellers, with negative one signifying an invalid or unassigned value, while positive integers (1, 2, etc.) represent active resellers."
Reseller,Reseller ID,String,702,100.0%,[Not Applicable] | AW00000001 | AW00000002,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Reseller ID"" field in the ""Reseller"" table is a string data type that uniquely identifies each reseller, with examples such as ""AW00000001"" and ""AW00000002""."
Reseller,Business Type,String,702,100.0%,[Not Applicable] | Value Added Reseller | Specialty Bike Shop,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Business Type"" string field in the ""Reseller"" table represents the primary nature of the business, allowing values such as 'Not Applicable', 'Value Added Reseller', or 'Specialty Bike Shop'."
Reseller,Reseller,String,702,100.0%,[Not Applicable] | A Bike Store | Progressive Sports,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Reseller"" field in the ""Reseller"" table is a string data type that stores the name of the specific reseller, with examples being ""A Bike Store"" and ""Progressive Sports""."
Reseller,City,String,702,100.0%,[Not Applicable] | Seattle | Renton,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""City"" field in the ""Reseller"" table is a string data type that stores the city location of each reseller, with possible values including cities such as Seattle and Renton."
Reseller,State-Province,String,702,100.0%,[Not Applicable] | Washington | Texas,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""State-Province"" field within the ""Reseller"" table is a string datatype that can store geographical locations such as states or provinces, with examples including ""Washington"" and ""Texas""."
Reseller,Country-Region,String,702,100.0%,[Not Applicable] | United States | Canada,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Country-Region"" field in the ""Reseller"" table is a string data type used to specify the geographical location of the resellers, with possible values including 'Not Applicable', 'United States', and 'Canada'."
Reseller,Postal Code,String,702,100.0%,[Not Applicable] | 98104 | 98055,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Postal Code"" field in the ""Reseller"" table is a string data type that stores postal codes for individual resellers, such as ""98104"" or ""98055""."
